candidate_id,recommendation,rank_score,title,year,doi,authors,source,matched_concepts,branch_files,duplicate_count,reason,human_review_required,metadata_only,scientific_evidence
e749e9400ef0,KEEP_METADATA,40,"Design, Modeling and Performance Analysis of an Actively Variable Stiffness Pneumatic Flexible Bending Joint",2026,10.3390/s26165200,Wang X.; Yuan H.; Wang P.; Gao P.; Xing H.; Han M.; Peng H.,Sensors,bending_stiffness; contact_friction; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
a2293d3b297e,KEEP_METADATA,40,Pick-and-Place Motion by Two-Robot-Arm System Equipped with Variable-Stiffness and Deformable Link Using Shape-Memory Alloy and Jamming Transition Phenomenon,2026,10.20965/jrm.2026.p0646,Takashima K.; Hirose Y.; Suzuki H.; Cho H.,Journal of Robotics and Mechatronics,bending_stiffness; contact_friction; jamming,forward/F02.csv; forward/F04.csv,1,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
f44123f3cce0,KEEP_METADATA,40,Sandwich Jamming-Based Variable Stiffness Structures With User-Defined Degrees of Freedom for Soft Wearable Devices,2026,10.1109/lra.2026.3668999,Kim S.; Park Y.-L.,IEEE Robotics and Automation Letters,bending_stiffness; contact_friction; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
e76262a75f6f,KEEP_METADATA,40,Variable Stiffness Flexure Structures Enabled by Phase-Change Gallium and Adhesive Interfacial Locking for Soft Robotic Applications,2026,10.1002/adem.202502415,Kim S.; Yoon S.J.; Park Y.-L.,Advanced Engineering Materials,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
2dffbc5c7c62,KEEP_METADATA,40,Analysis and modeling of nonlinear saturated behavior of layer jamming soft pneumatic bending actuator,2025,10.1088/1361-665x/adbf56,Khaloujini A.; Firuzy Rad P.; Ghafarirad H.; Azimi A.,Smart Materials and Structures,bending_stiffness; jamming; phase_hysteresis,forward/F01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
fa9e5898865c,KEEP_METADATA,40,Braided NiTi alloys microfilaments with near-linear responses: Toward flexible high-pressure sensors,2025,10.1016/j.jmst.2024.12.058,Liu Y.; Li L.; Xiao F.; Hou R.; Lin Z.; Cai X.; Zuo S.; Zhou Y.; Hua S.; Chen Y.; Jin X.,Journal of Materials Science and Technology,bending_stiffness; niti_sma; phase_hysteresis; wire_bundle,backward/B05.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
930a7de29183,KEEP_METADATA,40,Design and analysis of a variable stiffness tendon-driven soft gripper based on twisted tendons,2025,10.1088/2631-8695/adda90,Peng X.; Ouyang J.; Zhou D.; Liang K.,Engineering Research Express,bending_stiffness; contact_friction; jamming,forward/F01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
91da4b01ae76,KEEP_METADATA,40,"Design, Fabrication, and Testing of a Chain Mail Jamming-Based Stiffness-Changeable Robotic Supporter",2025,10.1109/tmech.2024.3506652,Ahmed A.; Hu Z.; Wan W.; Watanabe T.; Yuan J.; Harada K.,IEEE/ASME Transactions on Mechatronics,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
5a8b20abee67,KEEP_METADATA,40,Instant variable stiffness in cardiovascular catheters based on fiber jamming,2025,10.1126/sciadv.adn1207,Sun Y.; Piskarev Y.; Hofstetter E.H.; Fischer C.; Boehler Q.; Stárek Z.; Nelson B.J.; Floreano D.,Science Advances,bending_stiffness; jamming,forward/F01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
afb136a0376d,KEEP_METADATA,40,Jamming Metal Sheets Using Electropermanent Magnets for Stiffness Modulation,2025,10.1109/lra.2025.3579246,Gaeta L.T.; Vo V.T.; Lee S.-Y.; Raste S.; Venkatesam M.; Rogatinsky J.; Albayrak M.D.; Ranzani T.,IEEE Robotics and Automation Letters,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
a6ad83550dc8,KEEP_METADATA,40,A magnetically controlled soft robotic glove for hand rehabilitation,2024,10.1016/j.device.2024.100512,Gaeta L.T.; Albayrak M.D.; Kinnicutt L.; Aufrichtig S.; Sultania P.; Schlegel H.; Ellis T.D.; Ranzani T.,Device,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
2e036384de7c,KEEP_METADATA,40,A Soft Finger With Tensile Variable Stiffness Based on the Cross-Sliding Jamming Mechanism,2024,10.1109/lra.2024.3368235,Gai L.-J.; Huang J.; Zhang Y.; Zong X.; Ding H.,IEEE Robotics and Automation Letters,bending_stiffness; contact_friction; jamming,forward/F04.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
eed16716b03f,KEEP_METADATA,40,Design of a Continuum Robot with Variable Stiffness Using Spherical Jamming,2024,10.1109/m2vip62491.2024.10746135,Shen D.; Zhou W.; Zhang Q.; Gao H.; Yang L.; Wang X.,M2VIP - Proceedings of the International Conference on Mechatronics and Machine Vision in Practice,bending_stiffness; contact_friction; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
ae5fcbe65aa8,KEEP_METADATA,40,"Design, analysis, and testing of a variable-stiffness soft grabbing robot coupling particle jamming and layer jamming",2024,10.1088/1361-665x/ad3d46,Xu F.; Ma K.; He X.; Wei M.; Hu C.,Smart Materials and Structures,bending_stiffness; jamming,forward/F01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
ba75ddecf531,KEEP_METADATA,40,Fast stiffness variation gripper with efficient adhesion control,2024,10.1088/1361-665x/ad5a59,Chen W.; Sun T.; Li J.; Li X.; Li L.; Meng Y.; Tian Y.,Smart Materials and Structures,bending_stiffness; contact_friction; jamming,forward/F01.csv; forward/F02.csv,1,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
3246375ce0a1,KEEP_METADATA,40,Motion Evaluation of Variable-Stiffness Link Based on Shape-Memory Alloy and Jamming Transition Phenomenon,2024,10.20965/jrm.2024.p0181,Takashima K.; Suzuki H.; Imazawa T.; Cho H.,Journal of Robotics and Mechatronics,bending_stiffness; jamming,forward/F02.csv; forward/F04.csv,1,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
2487cc2d7a34,KEEP_METADATA,40,Variable stiffness structure inspired by seashells,2024,10.1088/1361-665x/ad1b27,Pagliarani N.; Arleo L.; Luca G.D.; Pozzi J.; Cianchetti M.,Smart Materials and Structures,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
0bb72bc50c72,KEEP_METADATA,40,A Magnetically-Actuated Coiling Soft Robot With Variable Stiffness,2023,10.1109/lra.2023.3264770,Lloyd P.; Thomas T.L.; Venkiteswaran V.K.; Pittiglio G.; Chandler J.H.; Valdastri P.; Misra S.,IEEE Robotics and Automation Letters,bending_stiffness; contact_friction; niti_sma,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
73bcd177ef70,KEEP_METADATA,40,Behavior Analysis of Soft Bending Actuators Equipped with Layer Jamming Mechanism,2023,10.1109/icrom60803.2023.10412426,Khaloujini A.; Rad P.F.; Ghafarirad H.; Azimi A.,"11th RSI International Conference on Robotics and Mechatronics, ICRoM 2023",bending_stiffness; jamming; phase_hysteresis,forward/F01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
576abec4c9ce,KEEP_METADATA,40,Design and Development of a Continuum Robot with Switching-Stiffness,2023,10.1089/soro.2022.0179,Shen D.; Zhang Q.; Han Y.; Tu C.; Wang X.,Soft Robotics,bending_stiffness; jamming; wire_bundle,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
f799750feda6,KEEP_METADATA,40,Enhancing the Tensile-Shaping Stability of Soft Elongation Actuators for Grasping Applications,2023,10.1109/lra.2022.3229225,Gai L.-J.; Zong X.; Huang J.,IEEE Robotics and Automation Letters,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
5ffbadf7ba86,KEEP_METADATA,40,Magnetically induced stiffening for soft robotics,2023,10.1039/d2sm01390h,Gaeta L.T.; McDonald K.J.; Kinnicutt L.; Le M.; Wilkinson-Flicker S.; Jiang Y.; Atakuru T.; Samur E.; Ranzani T.,Soft Matter,bending_stiffness; contact_friction; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
11514fe69312,KEEP_METADATA,40,Magnetorheological Fluid-Filled Origami Joints With Variable Stiffness Characteristics,2023,10.1109/tmech.2022.3222440,Yin X.; Yan J.; Wen S.; Zhang J.,IEEE/ASME Transactions on Mechatronics,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
b57122ef4fa3,KEEP_METADATA,40,NiTi shape memory alloy: Unraveling the role of internal friction in passive damping – A review,2023,10.1016/j.mtcomm.2023.107276,Radhamani R.; Balakrishnan M.,Materials Today Communications,contact_friction; niti_sma; phase_hysteresis,backward/B05.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
caf8ea8f0738,KEEP_METADATA,40,Stiffness-Tunable Soft Bellows Actuators by Cross-Fiber Jamming Effect for Robust Grasping,2023,10.1109/tmech.2023.3241844,Gai L.-J.; Huang J.; Zong X.,IEEE/ASME Transactions on Mechatronics,bending_stiffness; jamming; phase_hysteresis,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
2ac238b26552,KEEP_METADATA,40,Variable Stiffness Linear Actuator Based on Differential Drive Fiber Jamming,2023,10.1109/tro.2023.3236941,Arleo L.; Lorenzon L.; Cianchetti M.,IEEE Transactions on Robotics,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
9deb97740a4f,KEEP_METADATA,40,A granular jamming based hollow variable stiffness structure with adjustable local hardness,2022,10.1109/robio55434.2022.10011643,Liu X.; Ci L.; Zhang J.; Zhao Y.; Arafat Aziz K.M.,"2022 IEEE International Conference on Robotics and Biomimetics, ROBIO 2022",bending_stiffness; jamming,forward/F01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
4b4db362a1f2,KEEP_METADATA,40,Excellent damping properties and their correlations with the microstructures in the NiTi alloys fabricated by laser-directed energy deposition,2022,10.1016/j.jmapro.2022.10.047,Zhang D.; Hu Z.; Li Y.; Cong W.,Journal of Manufacturing Processes,niti_sma; phase_hysteresis,backward/B05.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
981ae6f8692f,KEEP_METADATA,40,Reconfigurable Self-Sensing Pneumatic Artificial Muscle with Locking Ability Based on Modular Multi-Chamber Soft Actuator,2022,10.1109/lra.2022.3189154,Liu J.; Ma Z.; Wang Y.; Zuo S.,IEEE Robotics and Automation Letters,jamming; pressure_control,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
16cb1ccf9a7a,KEEP_METADATA,40,Selectively Stiffening Garments Enabled by Cellular Composites,2022,10.1002/admt.202101543,Kwon J.; Choi I.; Park M.; Moon J.; Jeong B.; Pathak P.; Ahn J.; Park Y.-L.,Advanced Materials Technologies,bending_stiffness; jamming,forward/F02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
0c83c9f43219,KEEP_METADATA,40,"3D printed Mg-NiTi interpenetrating-phase composites with high strength, damping capacity, and energy absorption efficiency",2020,10.1126/sciadv.aba5581,Zhang M.; Yu Q.; Liu Z.; Zhang J.; Tan G.; Jiao D.; Zhu W.; Li S.; Zhang Z.; Yang R.; Ritchie R.O.,Science Advances,niti_sma; phase_hysteresis,backward/B05.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
8135842b8636,KEEP_METADATA,40,Active reinforcing fiber of cementitious materials using crimped NiTi SMA fiber for crack-bridging and pullout resistance,2020,10.3390/ma13173845,Choi E.; Ho H.V.; Jeon J.-S.,Materials,bending_stiffness; niti_sma,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
59486e252c59,KEEP_METADATA,40,Analytical and experimental study of shape memory alloy reinforcement on the performance of butt-fusion welded joints in high-density polyethylene pipe,2020,10.1177/1045389x20942583,Choi E.; Ostadrahimi A.; Youn H.,Journal of Intelligent Material Systems and Structures,bending_stiffness; niti_sma; pressure_control,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
70ba399c7666,KEEP_METADATA,40,Multi-level SMA/lead rubber bearing isolation system for seismic protection of bridges,2020,10.1088/1361-665x/ab802b,Cao S.; Ozbulut O.E.; Wu S.; Sun Z.; Deng J.,Smart Materials and Structures,bending_stiffness; niti_sma; wire_bundle,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
1cc670add276,KEEP_METADATA,40,On mechanical properties of NiTi SMA wires prestrained by cold rolling,2020,10.1088/1361-665x/ab84bb,Choi E.; Ostadrahimi A.; Park J.,Smart Materials and Structures,niti_sma; phase_hysteresis,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
29e2390d5ba2,KEEP_METADATA,40,Pullout resistance of crimped reinforcing fibers using cold-drawn NiTi SMA wires,2020,10.1016/j.conbuildmat.2020.120858,Choi E.; Ostadrahimi A.; Lee J.-H.,Construction and Building Materials,niti_sma; phase_hysteresis,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
96ea967141f8,KEEP_METADATA,40,Seismic vulnerability and loss assessment of an isolated simply-supported highway bridge retrofitted with optimized superelastic shape memory alloy cable restrainers,2020,10.1007/s10518-020-00812-4,Li S.; Hedayati Dezfuli F.; Wang J.-Q.; Shahria Alam M.,Bulletin of Earthquake Engineering,niti_sma; phase_hysteresis; wire_bundle,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
2e4bab17ffeb,KEEP_METADATA,40,Thermomechanical and electrical response of a superelastic NiTi shape memory alloy cable,2020,10.1177/1045389x20943952,Sherif M.M.; Ozbulut O.E.,Journal of Intelligent Material Systems and Structures,niti_sma; phase_hysteresis; wire_bundle,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
d43a0d07bbe0,KEEP_METADATA,40,Analytical solution for twinning deformation effect of pre-strained shape memory effect beam-columns,2019,10.1177/1045389x19862380,Ostadrahimi A.; Taheri-Behrooz F.,Journal of Intelligent Material Systems and Structures,bending_stiffness; niti_sma,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
d94d83106b18,KEEP_METADATA,40,"Superelastic NiTi SMA cables: Thermal-mechanical behavior, hysteretic modelling and seismic application",2019,10.1016/j.engstruct.2019.01.049,Fang C.; Zheng Y.; Chen J.; Yam M.C.H.; Wang W.,Engineering Structures,bending_stiffness; niti_sma; phase_hysteresis; wire_bundle,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
5ca02cb068e3,KEEP_METADATA,40,Micromechanics of stress transfer in shape memory alloy reinforced three-phase composites,2018,10.1177/1045389x18783086,Taheri-Behrooz F.; Mahdavizade M.J.; Ostadrahimi A.,Journal of Intelligent Material Systems and Structures,niti_sma; phase_hysteresis,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
27e49bf86550,KEEP_METADATA,40,Superelastic shape memory alloy cables for reinforced concrete applications,2017,10.1016/j.conbuildmat.2017.05.041,Mas B.; Biggs D.; Vieito I.; Cladera A.; Shaw J.; Martínez-Abella F.,Construction and Building Materials,niti_sma; phase_hysteresis; wire_bundle,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
624cad4d2c6b,KEEP_METADATA,40,Shape memory alloy cables for structural applications,2016,10.1061/(asce)mt.1943-5533.0001457,Ozbulut O.E.; Daghash S.; Sherif M.M.,Journal of Materials in Civil Engineering,niti_sma; phase_hysteresis; wire_bundle,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
7b05b988ff9c,KEEP_METADATA,40,An analytical study on the bending of prismatic SMA beams,2015,10.1088/0964-1726/24/12/125035,Ostadrahimi A.; Arghavani J.; Poorasadion S.,Smart Materials and Structures,bending_stiffness; niti_sma,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
82cb8a16fcda,KEEP_METADATA,40,Experimental and finite element analysis of fatigue strength for 300mm2 copper power conductor,2014,10.1016/j.marstruc.2014.07.005,Nasution F.P.; Sævik S.; Berge S.,Marine Structures,bending_stiffness; contact_friction; wire_bundle,backward/B04.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
bec716f68df9,KEEP_METADATA,40,Study of the complex stiffness of a vibratory mechanical system with shape memory alloy coil spring actuator,2014,10.1155/2014/162781,Holanda S.A.; Silva A.A.; De Araújo C.J.; De Aquino A.S.,Shock and Vibration,bending_stiffness; niti_sma; phase_hysteresis,backward/B05.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
8257d6c9f39b,KEEP_METADATA,40,Superelastic shape memory alloy cables: Part i - Isothermal tension experiments,2013,10.1016/j.ijsolstr.2013.03.013,Reedlunn B.; Daly S.; Shaw J.,International Journal of Solids and Structures,niti_sma; phase_hysteresis; wire_bundle,backward/B01.csv; backward/B02.csv,1,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
9672a92b8750,KEEP_METADATA,40,"A combined analytical, numerical, and experimental study of shape-memory-alloy helical springs",2011,10.1016/j.ijsolstr.2010.10.026,Mirzaeifar R.; Desroches R.; Yavari A.,International Journal of Solids and Structures,bending_stiffness; niti_sma,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
23a920e4f972,KEEP_METADATA,40,Seismic response control of high arch dams including contraction joint using nonlinear super-elastic SMA damper,2011,10.1016/j.conbuildmat.2011.04.013,Sun W.,Construction and Building Materials,niti_sma; phase_hysteresis,backward/B01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
be5272392c92,KEEP_METADATA,40,Shape memory alloy CuAlBe strands subjected to cyclic axial loads,2011,10.1016/j.engstruct.2011.06.015,Beltran J.F.; Cruz C.; Herrera R.; Moroni O.,Engineering Structures,niti_sma; phase_hysteresis; wire_bundle,backward/B01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
27c30772e334,KEEP_METADATA,40,A 3-D phenomenological constitutive model for shape memory alloys under multiaxial loadings,2010,10.1016/j.ijplas.2009.12.003,Arghavani J.; Auricchio F.; Naghdabadi R.; Reali A.; Sohrabpour S.,International Journal of Plasticity,niti_sma; phase_hysteresis,backward/B02.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
bb1235d3376d,KEEP_METADATA,40,Application of shape memory alloy dampers in the seismic control of cable-stayed bridges,2009,10.1016/j.engstruct.2008.11.007,Sharabash A.M.; Andrawes B.O.,Engineering Structures,bending_stiffness; niti_sma; phase_hysteresis; wire_bundle,backward/B01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
befea8f5256c,KEEP_METADATA,40,Controlling stiffness of a frame spring by changing the boundary condition with an SMA actuator,2008,10.1016/j.compstruc.2007.02.008,Heinonen J.; Vessonen I.; Klinge P.; Järvinen E.,Computers and Structures,bending_stiffness; niti_sma; phase_hysteresis,backward/B01.csv,0,Metadata is adjacent to the surviving mechanics question but does not show the full pressure-contact-stiffness coupling.,True,True,False
